id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
36,64,technician,married,tertiary,no,1319,no,no,cellular,12,mar,56,2,-1,0,unknown
37,32,admin.,single,tertiary,no,1531,yes,no,cellular,15,may,58,1,352,5,failure
38,48,blue-collar,married,secondary,no,4259,no,no,cellular,31,jul,84,7,-1,0,unknown
39,37,technician,married,secondary,no,1142,yes,no,cellular,17,jul,309,2,-1,0,unknown
40,37,management,single,tertiary,no,5340,yes,no,cellular,19,nov,101,2,104,4,failure
41,61,retired,married,primary,no,56,no,no,cellular,7,sep,288,3,-1,0,unknown
42,27,technician,single,secondary,no,297,no,no,cellular,11,may,273,5,-1,0,unknown
43,57,management,married,tertiary,no,246,yes,no,cellular,23,jul,322,2,-1,0,unknown
44,56,blue-collar,married,primary,no,-116,yes,no,cellular,8,may,1014,2,-1,0,unknown
45,37,management,married,tertiary,no,4436,no,no,cellular,13,aug,846,5,-1,0,unknown
46,32,self-employed,married,tertiary,no,210,yes,no,cellular,19,nov,268,1,-1,0,unknown
47,56,blue-collar,divorced,secondary,no,486,yes,no,unknown,18,jun,577,4,-1,0,unknown
48,44,blue-collar,married,primary,no,-171,yes,no,unknown,7,may,441,2,-1,0,unknown
49,30,blue-collar,married,secondary,no,578,yes,yes,cellular,17,apr,71,2,317,1,failure
50,78,retired,divorced,primary,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown
51,39,technician,married,secondary,no,603,no,yes,cellular,15,apr,214,1,-1,0,unknown
52,40,admin.,single,secondary,no,782,yes,no,cellular,21,dec,94,5,202,17,failure
53,30,management,single,tertiary,no,1637,yes,no,cellular,13,aug,163,3,-1,0,unknown
54,38,admin.,married,secondary,no,-762,no,no,unknown,29,may,165,1,-1,0,unknown
55,32,blue-collar,single,secondary,no,3662,no,no,telephone,28,jan,309,1,-1,0,unknown
56,27,student,single,secondary,no,1925,no,no,cellular,22,may,190,1,-1,0,unknown
57,49,blue-collar,married,primary,no,-57,no,no,telephone,23,jul,161,2,-1,0,unknown
58,47,admin.,married,secondary,no,3434,yes,yes,telephone,9,jul,337,1,-1,0,unknown
59,34,blue-collar,married,primary,no,-167,yes,no,unknown,21,may,201,1,-1,0,unknown
60,38,entrepreneur,single,secondary,no,473,yes,yes,unknown,30,may,133,4,-1,0,unknown
61,45,unemployed,single,primary,no,8725,no,no,cellular,8,jul,286,2,-1,0,unknown
62,36,admin.,single,tertiary,no,994,no,no,cellular,13,aug,185,2,105,3,success
63,51,admin.,married,secondary,no,-267,no,yes,cellular,6,aug,91,4,-1,0,unknown
64,33,admin.,single,secondary,no,1613,yes,no,unknown,14,may,565,1,-1,0,unknown
65,48,services,married,secondary,no,124,no,yes,cellular,9,jul,294,1,-1,0,unknown
66,35,admin.,single,secondary,no,2201,yes,no,unknown,3,jun,354,3,-1,0,unknown
67,45,technician,divorced,secondary,no,441,yes,no,cellular,2,feb,535,1,-1,0,unknown
68,47,technician,married,secondary,no,503,yes,no,unknown,6,may,109,2,-1,0,unknown
69,34,admin.,divorced,secondary,no,25,no,no,cellular,11,jul,666,2,-1,0,unknown
70,28,services,single,secondary,no,102,no,no,cellular,15,jun,64,1,89,3,other
71,49,management,married,tertiary,no,1216,yes,yes,unknown,30,may,244,2,-1,0,unknown
72,58,management,married,tertiary,no,1016,no,no,telephone,11,mar,78,2,91,1,failure
73,36,blue-collar,married,secondary,no,576,yes,no,cellular,10,jul,290,2,-1,0,unknown
74,42,admin.,divorced,secondary,no,146,yes,no,unknown,14,may,148,2,-1,0,unknown
75,35,management,single,tertiary,no,75,no,yes,cellular,8,aug,82,11,-1,0,unknown
76,38,blue-collar,divorced,secondary,no,-138,yes,no,cellular,18,may,644,1,-1,0,unknown
77,30,admin.,divorced,secondary,no,10,yes,no,cellular,18,jul,658,2,-1,0,unknown
78,37,housemaid,married,unknown,no,0,no,no,telephone,30,jul,195,4,-1,0,unknown
79,40,services,married,primary,no,352,yes,no,cellular,10,jul,258,1,-1,0,unknown
80,49,blue-collar,married,primary,no,397,no,no,cellular,22,aug,263,1,-1,0,unknown
81,26,self-employed,single,secondary,no,3676,no,no,cellular,7,apr,148,1,-1,0,unknown
82,39,admin.,single,secondary,no,1965,yes,no,cellular,8,may,247,1,-1,0,unknown
83,59,blue-collar,married,secondary,no,149,no,yes,telephone,28,jul,313,16,-1,0,unknown
84,30,admin.,single,secondary,no,382,yes,no,cellular,19,nov,369,1,191,1,failure
85,55,management,married,tertiary,no,540,no,no,cellular,19,nov,124,2,-1,0,unknown
86,32,technician,single,secondary,no,287,yes,no,unknown,21,may,59,8,-1,0,unknown
87,31,technician,married,secondary,no,367,yes,no,cellular,8,aug,515,3,-1,0,unknown
88,32,blue-collar,single,secondary,no,6982,yes,no,cellular,20,nov,224,2,183,1,failure
89,28,technician,single,tertiary,no,940,yes,no,unknown,19,jun,296,1,-1,0,unknown
90,36,management,married,tertiary,no,93,no,no,cellular,12,jul,262,2,182,7,failure
91,41,blue-collar,married,secondary,no,213,yes,no,unknown,8,may,10,2,-1,0,unknown
92,51,unemployed,divorced,tertiary,no,0,no,no,cellular,31,jul,574,2,-1,0,unknown
93,48,blue-collar,married,secondary,no,525,yes,no,cellular,12,may,325,2,-1,0,unknown
94,39,technician,married,tertiary,no,602,yes,no,unknown,20,may,191,7,-1,0,unknown
95,52,services,divorced,secondary,no,1635,yes,no,unknown,13,may,730,1,-1,0,unknown
96,46,services,divorced,secondary,no,2044,no,yes,unknown,16,jun,75,3,-1,0,unknown
97,56,unemployed,divorced,secondary,no,763,no,no,unknown,6,jun,181,2,-1,0,unknown
98,31,blue-collar,married,primary,no,951,yes,no,cellular,13,may,206,1,-1,0,unknown
99,33,entrepreneur,married,secondary,no,3140,yes,yes,cellular,21,nov,7,5,-1,0,unknown
100,52,management,divorced,secondary,no,944,no,yes,unknown,9,jun,119,1,-1,0,unknown
101,32,management,married,tertiary,no,0,no,no,cellular,26,aug,104,9,-1,0,unknown
102,33,technician,married,tertiary,no,8408,no,no,cellular,11,aug,121,2,-1,0,unknown
103,29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown
104,41,blue-collar,married,unknown,no,665,yes,no,unknown,19,may,142,3,-1,0,unknown
105,31,services,married,secondary,no,1167,yes,yes,cellular,20,nov,279,1,-1,0,unknown
106,36,blue-collar,married,secondary,no,71,yes,no,unknown,30,may,510,5,-1,0,unknown
107,27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown
108,36,technician,single,tertiary,no,962,yes,no,cellular,8,may,568,1,-1,0,unknown
109,38,management,married,tertiary,no,165,yes,no,cellular,17,apr,526,1,260,2,other
110,48,admin.,married,secondary,no,0,yes,no,cellular,17,jul,109,4,-1,0,unknown
111,27,blue-collar,married,primary,no,108,yes,no,telephone,28,jul,57,2,-1,0,unknown
112,26,technician,single,tertiary,no,813,yes,no,unknown,29,may,140,3,-1,0,unknown
113,39,services,married,secondary,no,208,no,yes,cellular,9,feb,122,2,-1,0,unknown
114,39,admin.,single,secondary,no,238,yes,no,cellular,15,apr,417,1,-1,0,unknown
115,44,technician,single,tertiary,no,2033,no,no,cellular,27,may,158,1,-1,0,unknown
116,31,self-employed,single,tertiary,no,578,yes,no,cellular,17,apr,664,1,319,4,failure
117,33,blue-collar,single,secondary,no,123,yes,no,cellular,5,feb,273,3,212,4,failure
118,51,blue-collar,divorced,primary,no,155,yes,yes,cellular,9,apr,220,1,142,1,failure
119,31,management,married,tertiary,no,2652,no,no,cellular,25,aug,9,9,-1,0,unknown
120,41,blue-collar,married,primary,no,1135,yes,no,unknown,13,may,265,1,-1,0,unknown
121,33,blue-collar,married,primary,no,3704,yes,no,unknown,6,jun,447,2,-1,0,unknown
122,41,services,single,secondary,no,197,yes,no,unknown,19,may,112,1,-1,0,unknown
123,52,technician,married,secondary,yes,0,no,no,cellular,8,jul,584,2,-1,0,unknown
124,26,technician,divorced,tertiary,no,3154,yes,yes,unknown,27,may,121,1,-1,0,unknown
125,46,unknown,married,unknown,no,613,no,no,unknown,6,jun,51,1,-1,0,unknown
126,50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218,3,161,9,other
127,23,admin.,single,secondary,no,366,no,no,unknown,20,aug,22,1,-1,0,unknown
128,57,technician,married,secondary,no,589,yes,no,cellular,11,aug,167,1,190,5,failure
129,56,retired,married,unknown,no,228,yes,no,unknown,28,may,296,1,-1,0,unknown
130,45,blue-collar,married,primary,no,572,no,no,telephone,5,feb,13,6,-1,0,unknown
131,29,management,single,tertiary,no,112,yes,yes,unknown,28,may,117,2,-1,0,unknown
132,36,admin.,single,secondary,no,507,yes,no,cellular,18,may,264,1,300,2,success
133,42,admin.,married,secondary,no,16517,no,no,cellular,24,aug,497,2,279,2,failure
134,39,admin.,married,secondary,no,732,no,no,cellular,23,apr,522,4,-1,0,unknown
135,32,technician,single,secondary,no,493,no,no,cellular,13,aug,289,2,-1,0,unknown
136,42,management,married,tertiary,no,0,no,no,cellular,6,aug,81,3,-1,0,unknown
137,51,blue-collar,married,secondary,no,3370,yes,no,cellular,11,may,59,1,-1,0,unknown
138,51,blue-collar,married,primary,no,42,yes,no,cellular,12,may,51,2,342,3,failure
139,37,technician,married,secondary,no,603,no,no,unknown,18,jun,339,2,-1,0,unknown
140,46,self-employed,married,tertiary,no,8,no,no,cellular,13,oct,182,1,-1,0,unknown
141,42,housemaid,divorced,primary,no,273,no,no,cellular,21,apr,354,1,-1,0,unknown
142,29,blue-collar,single,tertiary,no,251,no,no,cellular,29,jan,212,1,-1,0,unknown
143,31,management,single,tertiary,no,9629,no,no,cellular,3,jul,67,2,-1,0,unknown
144,34,technician,married,secondary,no,1234,yes,no,cellular,24,jul,185,6,-1,0,unknown
145,31,admin.,single,secondary,no,0,no,no,telephone,29,jan,528,3,-1,0,unknown
146,60,retired,single,secondary,no,-330,no,yes,cellular,22,jul,69,6,-1,0,unknown
147,44,technician,married,secondary,no,3790,yes,no,unknown,13,may,342,2,-1,0,unknown
148,48,blue-collar,married,primary,no,476,no,no,cellular,11,aug,856,3,-1,0,unknown
149,36,self-employed,single,tertiary,no,0,yes,no,cellular,30,apr,204,1,-1,0,unknown
150,53,admin.,married,secondary,no,8449,no,no,cellular,12,aug,123,2,-1,0,unknown
151,37,management,married,tertiary,no,355,no,no,cellular,4,aug,340,1,-1,0,unknown
152,26,entrepreneur,married,secondary,no,321,yes,yes,cellular,23,jul,638,2,-1,0,unknown
153,44,blue-collar,married,unknown,no,391,no,no,unknown,6,jun,355,4,-1,0,unknown
154,47,blue-collar,married,secondary,no,1021,no,no,cellular,13,aug,399,3,-1,0,unknown
155,30,management,single,tertiary,no,136,yes,no,unknown,23,may,152,1,-1,0,unknown
156,46,admin.,divorced,secondary,no,1203,no,no,cellular,30,jul,227,8,-1,0,unknown
157,32,services,married,secondary,no,268,no,no,cellular,29,jan,140,1,-1,0,unknown
158,34,blue-collar,married,secondary,no,699,yes,yes,cellular,31,jul,576,10,-1,0,unknown
159,26,admin.,single,tertiary,no,689,no,no,cellular,25,mar,78,1,-1,0,unknown
160,46,blue-collar,married,secondary,no,2348,no,no,cellular,17,nov,182,1,-1,0,unknown
161,54,blue-collar,married,secondary,no,-69,yes,no,unknown,26,may,135,2,-1,0,unknown
162,35,admin.,married,tertiary,no,6,no,no,cellular,26,aug,130,2,-1,0,unknown
163,58,services,married,secondary,no,0,no,no,telephone,29,jul,50,2,-1,0,unknown
164,55,technician,married,tertiary,no,1320,no,no,cellular,28,apr,387,2,-1,0,unknown
165,37,blue-collar,married,secondary,no,-100,yes,no,cellular,18,may,108,2,349,2,failure
166,48,management,single,tertiary,no,1437,yes,yes,unknown,17,jun,34,2,-1,0,unknown
167,45,blue-collar,married,primary,no,675,yes,no,cellular,20,apr,890,2,-1,0,unknown
168,53,technician,married,tertiary,no,988,no,no,cellular,20,aug,1408,5,-1,0,unknown
169,33,blue-collar,single,secondary,no,2668,yes,no,cellular,18,jul,187,1,-1,0,unknown
170,33,management,single,secondary,no,1473,no,no,telephone,4,feb,43,1,-1,0,unknown
171,41,services,married,secondary,no,241,yes,yes,unknown,4,jun,144,1,-1,0,unknown
172,49,technician,married,tertiary,no,196,no,no,cellular,4,feb,9,7,163,24,other
173,45,services,married,primary,no,137,yes,no,unknown,9,may,274,2,-1,0,unknown
174,30,services,single,tertiary,no,108,yes,no,unknown,26,may,282,8,-1,0,unknown
175,27,blue-collar,married,primary,no,1,yes,no,cellular,5,may,49,2,-1,0,unknown
176,25,student,single,tertiary,no,-380,no,no,cellular,28,jul,108,4,-1,0,unknown
177,78,retired,divorced,unknown,no,0,no,no,telephone,8,oct,259,1,-1,0,unknown
178,34,management,married,tertiary,no,3050,yes,no,cellular,13,may,469,1,-1,0,unknown
179,42,admin.,single,secondary,no,283,yes,no,unknown,19,jun,446,1,-1,0,unknown
180,30,student,single,secondary,no,7387,no,no,cellular,16,mar,93,1,-1,0,unknown
181,45,management,married,tertiary,no,96,yes,no,cellular,20,nov,167,1,127,1,failure
182,40,services,single,secondary,no,65,yes,no,cellular,15,may,15,3,-1,0,unknown
183,32,management,married,tertiary,no,2465,yes,yes,cellular,7,may,923,1,-1,0,unknown
184,29,management,married,tertiary,no,361,yes,yes,cellular,28,jul,819,3,-1,0,unknown
185,55,housemaid,married,primary,no,0,no,no,cellular,13,aug,139,2,-1,0,unknown
186,31,entrepreneur,married,secondary,no,10,yes,yes,cellular,25,jul,13,9,-1,0,unknown
187,58,management,married,secondary,no,1112,yes,no,telephone,20,apr,21,3,-1,0,unknown
188,40,services,married,secondary,no,961,no,yes,cellular,19,nov,589,1,133,4,other
189,29,blue-collar,single,secondary,no,208,yes,no,unknown,23,may,249,1,-1,0,unknown
190,28,self-employed,married,secondary,no,123,no,yes,telephone,22,oct,313,1,-1,0,unknown
191,27,student,single,tertiary,no,-148,yes,no,cellular,11,sep,146,3,224,1,other
192,27,technician,single,tertiary,no,75,yes,yes,cellular,5,may,308,1,351,1,failure
193,60,blue-collar,married,secondary,no,414,no,no,cellular,4,feb,147,1,-1,0,unknown
194,42,blue-collar,married,secondary,no,-128,no,yes,cellular,28,jul,180,4,-1,0,unknown
195,46,blue-collar,married,secondary,no,521,yes,no,cellular,29,jan,246,1,226,3,failure
196,40,management,married,secondary,no,394,yes,no,cellular,16,jul,60,5,-1,0,unknown
197,31,management,single,tertiary,no,130,yes,no,cellular,5,may,155,1,-1,0,unknown
198,56,retired,married,primary,no,152,yes,yes,cellular,30,jul,65,7,-1,0,unknown
199,31,blue-collar,single,secondary,no,855,yes,no,cellular,16,apr,94,1,317,2,failure
200,47,self-employed,married,primary,no,1056,no,no,telephone,29,aug,58,2,-1,0,unknown
201,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown
202,53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,-1,0,unknown
203,30,management,single,tertiary,no,112,yes,no,unknown,7,may,245,1,-1,0,unknown
204,50,unemployed,single,tertiary,no,0,yes,no,cellular,6,aug,102,2,-1,0,unknown
205,32,blue-collar,single,secondary,no,2,no,no,unknown,9,may,144,2,-1,0,unknown
206,46,blue-collar,married,unknown,no,83,no,no,unknown,20,jun,38,5,-1,0,unknown
207,33,admin.,married,secondary,no,0,no,no,unknown,19,may,326,2,-1,0,unknown
208,34,services,single,secondary,no,0,yes,no,cellular,17,apr,112,1,332,3,failure
209,51,blue-collar,married,primary,no,129,yes,no,cellular,15,may,611,2,-1,0,unknown
210,50,blue-collar,married,secondary,no,2013,no,yes,cellular,22,jul,226,1,-1,0,unknown
211,42,services,divorced,secondary,no,167,no,no,unknown,16,jun,119,1,-1,0,unknown
212,37,technician,married,tertiary,no,247,no,no,cellular,20,aug,625,6,-1,0,unknown
213,37,management,married,tertiary,no,561,no,no,cellular,4,aug,204,2,-1,0,unknown
214,33,technician,married,secondary,no,318,yes,no,cellular,14,may,108,4,342,14,other
215,39,management,married,tertiary,no,9579,yes,no,cellular,18,nov,160,3,-1,0,unknown
216,50,technician,divorced,secondary,no,0,yes,no,cellular,13,aug,120,2,91,6,failure
217,25,services,married,secondary,no,806,yes,yes,cellular,15,may,193,2,-1,0,unknown
218,45,management,married,tertiary,no,547,no,no,cellular,2,feb,577,1,-1,0,unknown
219,25,student,single,primary,no,373,yes,no,cellular,11,may,819,2,-1,0,unknown
220,39,technician,single,secondary,no,122,yes,no,unknown,2,jun,158,1,-1,0,unknown
221,59,admin.,married,secondary,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown
222,55,blue-collar,married,secondary,no,-256,yes,yes,unknown,9,may,136,2,-1,0,unknown
223,39,student,single,unknown,no,64,no,no,cellular,12,nov,366,2,98,1,failure
224,44,technician,married,secondary,no,366,no,yes,cellular,18,aug,212,12,-1,0,unknown
225,40,admin.,single,secondary,no,576,yes,yes,cellular,20,apr,114,3,-1,0,unknown
226,49,management,married,tertiary,no,395,no,no,cellular,10,dec,336,5,-1,0,unknown
227,34,technician,single,secondary,no,3311,no,no,cellular,1,oct,197,2,-1,0,unknown
228,57,retired,divorced,tertiary,no,476,no,no,telephone,21,nov,26,1,-1,0,unknown
229,20,blue-collar,single,secondary,no,76,yes,no,cellular,18,may,639,2,-1,0,unknown
230,41,housemaid,married,primary,no,365,no,no,cellular,8,aug,203,5,-1,0,unknown
231,36,management,single,tertiary,no,223,yes,no,cellular,8,apr,281,3,-1,0,unknown
232,45,technician,divorced,secondary,no,88,yes,no,cellular,22,aug,55,3,-1,0,unknown
233,33,services,married,secondary,no,1330,yes,no,cellular,18,nov,245,1,-1,0,unknown
234,52,technician,married,tertiary,no,0,no,no,cellular,28,aug,84,15,-1,0,unknown
235,37,management,married,tertiary,no,0,yes,no,telephone,28,jul,62,8,-1,0,unknown
236,51,unemployed,married,secondary,no,234,no,no,cellular,22,aug,735,1,-1,0,unknown
237,44,blue-collar,married,secondary,no,466,yes,yes,cellular,14,may,158,5,350,1,other
238,53,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,121,1,-1,0,unknown
239,38,self-employed,married,secondary,no,215,yes,no,cellular,20,nov,70,1,167,1,failure
240,34,technician,married,secondary,no,978,yes,no,unknown,16,may,370,2,-1,0,unknown
241,27,unknown,single,secondary,no,1187,no,no,telephone,26,feb,232,1,101,1,failure
242,53,technician,divorced,secondary,no,4856,yes,no,cellular,18,nov,151,1,-1,0,unknown
243,33,management,single,tertiary,no,3623,no,no,cellular,14,aug,107,2,-1,0,unknown
244,38,blue-collar,married,secondary,no,360,yes,no,unknown,14,may,220,2,-1,0,unknown
245,32,technician,single,tertiary,no,0,no,no,cellular,21,aug,119,2,-1,0,unknown
246,42,services,married,secondary,no,1376,yes,no,cellular,2,jun,271,2,92,4,success
247,27,student,single,tertiary,no,118,no,no,cellular,25,may,112,1,-1,0,unknown
248,55,technician,married,secondary,no,0,yes,yes,cellular,1,jun,106,1,91,1,success
249,33,technician,single,secondary,no,235,yes,no,cellular,20,apr,352,1,-1,0,unknown
250,52,technician,married,tertiary,no,1416,yes,no,cellular,14,jul,297,3,-1,0,unknown
251,33,blue-collar,married,primary,no,309,yes,no,cellular,15,may,42,4,-1,0,unknown
252,51,technician,married,tertiary,no,0,no,no,cellular,2,mar,539,2,-1,0,unknown
253,36,admin.,single,secondary,no,0,no,no,unknown,20,may,37,1,-1,0,unknown
254,35,technician,married,secondary,no,2789,yes,no,cellular,2,jun,88,1,-1,0,unknown
255,45,services,divorced,secondary,no,608,yes,yes,cellular,7,may,1135,3,323,30,failure
256,46,blue-collar,married,secondary,no,120,yes,yes,cellular,29,jan,121,1,259,3,failure
257,48,blue-collar,married,secondary,no,-202,yes,yes,cellular,19,nov,565,1,112,4,failure
258,24,technician,single,secondary,no,1371,yes,yes,cellular,7,may,166,2,-1,0,unknown
259,32,technician,single,tertiary,no,388,no,no,cellular,29,apr,250,3,-1,0,unknown
260,30,management,single,secondary,no,0,no,no,cellular,4,feb,405,1,-1,0,unknown
261,43,services,married,secondary,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown
262,38,management,married,tertiary,no,1199,no,no,cellular,3,aug,482,1,-1,0,unknown
263,32,technician,single,tertiary,no,548,no,no,cellular,18,aug,377,7,-1,0,unknown
264,49,entrepreneur,divorced,secondary,no,816,yes,no,cellular,14,may,12,7,-1,0,unknown
265,40,housemaid,married,primary,no,229,yes,no,cellular,24,jul,213,10,-1,0,unknown
266,33,blue-collar,divorced,primary,no,142,yes,no,telephone,11,may,41,2,300,5,failure
267,57,retired,married,secondary,no,3382,no,yes,telephone,23,jul,165,2,-1,0,unknown
268,45,services,married,primary,no,132,no,no,cellular,14,jul,179,2,-1,0,unknown
269,34,management,single,tertiary,no,94,no,no,cellular,25,aug,45,11,-1,0,unknown
270,46,blue-collar,married,primary,no,399,yes,no,unknown,13,may,353,1,-1,0,unknown
271,36,housemaid,married,primary,no,622,no,no,unknown,20,jun,55,5,-1,0,unknown
272,29,self-employed,married,tertiary,yes,-1083,yes,no,unknown,4,jun,139,2,-1,0,unknown
273,61,management,married,tertiary,no,267,no,no,cellular,20,apr,190,1,-1,0,unknown
274,33,blue-collar,married,secondary,no,1905,yes,no,cellular,13,may,39,1,301,2,success
275,49,blue-collar,married,primary,no,2316,no,no,telephone,7,aug,35,4,-1,0,unknown
276,30,housemaid,single,secondary,no,358,yes,no,cellular,21,nov,45,2,-1,0,unknown
277,39,blue-collar,married,secondary,no,49,yes,no,cellular,14,may,566,1,370,2,failure
278,27,admin.,single,secondary,no,3638,no,no,cellular,11,jul,271,5,-1,0,unknown
279,35,management,married,tertiary,no,0,yes,no,cellular,20,nov,197,4,30,1,failure
280,30,technician,single,secondary,no,816,yes,no,unknown,14,nov,179,1,-1,0,unknown
281,33,admin.,single,secondary,no,0,yes,no,unknown,2,jun,32,2,-1,0,unknown
282,64,retired,married,primary,no,12067,no,no,telephone,30,jul,367,2,92,2,success
283,45,technician,married,secondary,no,999,yes,no,cellular,20,nov,215,6,188,2,failure
284,49,blue-collar,married,primary,no,1456,no,no,cellular,12,aug,225,4,-1,0,unknown
285,56,management,married,tertiary,no,1407,no,no,cellular,1,jun,388,1,-1,0,unknown
286,38,blue-collar,married,secondary,no,4586,yes,no,unknown,8,may,784,1,-1,0,unknown
287,33,technician,single,tertiary,no,129,yes,no,unknown,8,may,128,1,-1,0,unknown
288,30,services,single,secondary,no,1881,no,yes,unknown,26,jun,29,1,-1,0,unknown
289,45,blue-collar,single,unknown,no,816,no,no,cellular,20,nov,279,3,-1,0,unknown
290,50,services,divorced,secondary,no,256,yes,no,unknown,19,may,316,2,-1,0,unknown
291,39,blue-collar,married,primary,no,-197,yes,no,unknown,20,may,204,2,-1,0,unknown
292,30,admin.,married,secondary,no,-150,yes,no,cellular,6,may,174,1,365,1,failure
293,53,self-employed,divorced,tertiary,yes,10,no,no,cellular,20,nov,75,3,-1,0,unknown
294,32,blue-collar,married,primary,no,827,yes,no,unknown,23,may,230,2,-1,0,unknown
295,37,blue-collar,married,primary,no,178,yes,yes,unknown,9,jun,72,1,-1,0,unknown
296,48,technician,married,tertiary,no,2,no,no,cellular,3,feb,165,5,6,3,other
297,34,blue-collar,married,secondary,no,4622,yes,yes,unknown,20,may,217,1,-1,0,unknown
298,24,admin.,single,secondary,no,-386,yes,no,cellular,5,may,180,1,-1,0,unknown
299,42,admin.,married,secondary,no,329,no,no,cellular,19,aug,347,3,-1,0,unknown
300,35,technician,married,secondary,no,2,no,no,telephone,28,jan,653,3,-1,0,unknown
301,31,technician,married,secondary,no,180,no,no,cellular,26,may,222,1,70,2,success
302,47,blue-collar,single,primary,no,133,yes,no,cellular,14,may,285,1,330,3,other
303,50,entrepreneur,married,tertiary,no,433,yes,no,cellular,18,may,47,4,-1,0,unknown
304,33,blue-collar,married,secondary,no,320,yes,yes,unknown,26,may,167,3,-1,0,unknown
305,26,student,single,secondary,no,374,no,no,telephone,12,aug,478,2,-1,0,unknown
306,36,technician,single,tertiary,no,46,yes,no,cellular,6,aug,459,3,-1,0,unknown
307,58,blue-collar,married,primary,no,6762,no,no,cellular,28,aug,9,25,-1,0,unknown
308,69,retired,divorced,secondary,no,4572,no,no,telephone,27,oct,146,2,56,1,other
309,39,blue-collar,single,secondary,no,1672,yes,no,cellular,20,apr,462,1,648,1,failure
310,34,blue-collar,married,secondary,no,1,yes,no,cellular,9,jul,290,2,-1,0,unknown
311,31,blue-collar,married,secondary,no,-498,yes,no,cellular,21,jul,357,1,-1,0,unknown
312,27,services,single,tertiary,no,128,no,no,cellular,8,apr,83,1,-1,0,unknown
